Origin Country,Year,Total Inbound Tourists
Singapore,2015,12930754
Indonesia,2015,2788033
Thailand,2015,1343569
Brunei Darussalam,2015,1133555
China,2015,1677163
India,2015,722141
Japan,2015,483569
Philippines,2015,554917
Saudi Arabia,2015,99754
United States,2015,237768
Canada,2015,79557
Australia,2015,486948
New Zealand,2015,60846
United Kingdom,2015,401019
Germany,2015,144910
Netherlands,2015,84584
Singapore,2016,13272961
Indonesia,2016,3049964
Thailand,2016,1780800
Brunei Darussalam,2016,1391016
China,2016,2124942
India,2016,638578
Japan,2016,413768
Philippines,2016,417446
Saudi Arabia,2016,123878
United States,2016,217075
Canada,2016,72337
Australia,2016,377727
New Zealand,2016,53352
United Kingdom,2016,400269
Germany,2016,130276
Netherlands,2016,72200
Singapore,2017,12441713
Indonesia,2017,2796570
Thailand,2017,1836522
Brunei Darussalam,2017,1660506
China,2017,2281666
India,2017,552739
Japan,2017,392777
Philippines,2017,370559
Saudi Arabia,2017,100549
United States,2017,198203
Canada,2017,67056
Australia,2017,351232
New Zealand,2017,55923
United Kingdom,2017,358818
Germany,2017,109816
Netherlands,2017,75885
Singapore,2018,10615986
Indonesia,2018,3277689
Thailand,2018,1914692
Brunei Darussalam,2018,1382031
China,2018,2944133
India,2018,600311
Japan,2018,394540
Philippines,2018,396062
Saudi Arabia,2018,112263
United States,2018,253384
Canada,2018,84705
Australia,2018,351500
New Zealand,2018,50698
United Kingdom,2018,361335
Germany,2018,128895
Netherlands,2018,81651
Singapore,2019,10163882
Indonesia,2019,3623277
Thailand,2019,1884306
Brunei Darussalam,2019,1216123
China,2019,3114257
India,2019,735309
Japan,2019,424694
Philippines,2019,421908
Saudi Arabia,2019,121444
United States,2019,269928
Canada,2019,87568
Australia,2019,368271
New Zealand,2019,50140
United Kingdom,2019,346485
Germany,2019,130221
Netherlands,2019,82110
Singapore,2020,1545255
Indonesia,2020,711723
Thailand,2020,394413
Brunei Darussalam,2020,136020
China,2020,405149
India,2020,155883
Japan,2020,74383
Philippines,2020,66051
Saudi Arabia,2020,23390
United States,2020,48810
Canada,2020,16631
Australia,2020,72680
New Zealand,2020,8794
United Kingdom,2020,63868
Germany,2020,27458
Netherlands,2020,14486
Singapore,2021,16308
Indonesia,2021,11025
Thailand,2021,59607
Brunei Darussalam,2021,773
China,2021,7701
India,2021,3916
Japan,2021,3114
Philippines,2021,2317
Saudi Arabia,2021,687
United States,2021,2030
Canada,2021,471
Australia,2021,1321
New Zealand,2021,196
United Kingdom,2021,2676
Germany,2021,824
Netherlands,2021,466
Singapore,2022,5222991
Indonesia,2022,1481739
Thailand,2022,715528
Brunei Darussalam,2022,301757
China,2022,212603
India,2022,324548
Japan,2022,83309
Philippines,2022,159442
Saudi Arabia,2022,35980
United States,2022,108141
Canada,2022,30656
Australia,2022,152265
New Zealand,2022,18238
United Kingdom,2022,134667
Germany,2022,57780
Netherlands,2022,31070
Singapore,2023,8308230
Indonesia,2023,3108165
Thailand,2023,1551282
Brunei Darussalam,2023,811833
China,2023,1474114
India,2023,671846
Japan,2023,229982
Philippines,2023,339282
Saudi Arabia,2023,51375
United States,2023,229476
Canada,2023,71981
Australia,2023,343438
New Zealand,2023,42955
United Kingdom,2023,272297
Germany,2023,125987
Netherlands,2023,68448
